junction,corridor,event_count,avg_risk_score,high_priority_rate,junction_risk_score,priority_rank
MekhriCircle,Bellary Road 1,63,99.99936507936508,1.0,100.0,1
AyyappaTempleJunc,Hosur Road,46,99.99260869565217,1.0,98.51,2
SatteliteBusStandJunc,Mysore Road,43,99.99976744186046,1.0,98.2,3
toll gate mysore road,Mysore Road,33,99.99121212121213,1.0,96.95,4
JalahalliCross(SM Circle),Tumkur Road,32,100.0,1.0,96.81,5
YeshwanthpuraCircle,Tumkur Road,31,99.99193548387096,1.0,96.66,6
YelhankaCircle,Bellary Road 2,30,99.99766666666666,1.0,96.51,7
"VeerannapalyaJunction(BEL,HO)",ORR North 1,30,100.0,1.0,96.51,8
TownhallJunction,Mysore Road,30,99.98633333333332,1.0,96.5,9
KoramangalaWaterTankJunc,IRR(Thanisandra road),29,99.97620689655172,1.0,96.34,10
GokuldasImagesJunc,Tumkur Road,28,99.99964285714285,1.0,96.19,11
HesaraghattaJunction,Tumkur Road,28,99.91857142857143,1.0,96.13,12
BagalurCrossJunc,Bellary Road 2,27,99.99962962962962,1.0,96.02,13
Bommanahalli,Hosur Road,26,99.99923076923076,1.0,95.85,14
HebbalFlyoverJunc,Bellary Road 1,25,99.99959999999999,1.0,95.67,15
BEL Circle,ORR North 2,25,99.9984,1.0,95.67,16
SantheCircle,Bellary Road 2,25,99.99600000000001,1.0,95.66,17
SilkBoardJunc,ORR East 1,24,99.99333333333334,1.0,95.47,18
BigBazaarJunction(OldMadrasRd),Old Madras Road,24,99.9775,1.0,95.46,19
PoliceCornerJunc,Mysore Road,23,99.96391304347826,1.0,95.25,20
CMP GateJunc,Hosur Road,20,99.99600000000001,1.0,94.64,21
SRS Peenya Junc,Tumkur Road,20,99.99249999999999,1.0,94.64,22
Nagavara-ORR Junction,Hennur Main Road,20,99.9935,1.0,94.64,23
LeprosyhospitalJunc,Magadi Road,21,99.71333333333334,1.0,94.64,24
RajeshwariJunc,Mysore Road,20,99.9795,1.0,94.62,25
BangaloreBodyBuildersJunc,Mysore Road,19,99.98894736842105,1.0,94.4,26
YelhankaBypass,Bellary Road 2,19,99.99315789473684,1.0,94.4,27
JakkurCrossJunction,Bellary Road 2,18,99.99444444444445,1.0,94.16,28
GoruguntepalyaJunc,Tumkur Road,17,99.99941176470588,1.0,93.9,29
KIMCO Junction,West of Chord Road,16,99.999375,1.0,93.62,30
Sumanhalli,Magadi Road,16,99.990625,1.0,93.62,31
HudsonCircle,Mysore Road,16,99.76375,1.0,93.44,32
KogilluCrossJunc,Bellary Road 2,15,99.998,1.0,93.33,33
KIMCO Junction,Mysore Road,15,99.99866666666667,1.0,93.33,34
Deverabeesanahalli-ORR Junc,ORR East 1,15,99.98933333333333,1.0,93.32,35
Chokasandra (Tumkur road),Tumkur Road,14,99.99714285714286,1.0,93.02,36
Srigandakaval,Magadi Road,14,99.99071428571428,1.0,93.02,37
BilekahalliJunc,Bannerghata Road,14,99.98214285714286,1.0,93.01,38
Batrayanapura(Amrutahalli)Junction,Bellary Road 2,14,99.98642857142856,1.0,93.01,39
ArakereGateJunc,Bannerghata Road,14,99.89142857142858,1.0,92.94,40
PoliceTimmaiahCircle(GPO),CBD 2,14,99.89999999999999,1.0,92.94,41
IndianExpressJunction,CBD 2,14,99.69000000000001,1.0,92.77,42
MysoreRd-RingRdJunc(Nayandanahallii),ORR West 1,13,99.99538461538462,1.0,92.69,43
HennurRoad-ORR Junc,Airport New South Road,13,99.99538461538462,1.0,92.69,44
IbblurJunction',ORR East 1,13,99.87846153846155,1.0,92.59,45
TumkurRdMarappanapalyaJunc,Tumkur Road,13,99.87153846153845,1.0,92.59,46
PeenyaPoliceStation,Tumkur Road,12,99.99833333333333,1.0,92.33,47
OldMadrasRd-Indranagar100ftRdJunc,Old Madras Road,12,99.99666666666667,1.0,92.33,48
Nagavara-ORR Junction,ORR North 1,12,100.0,1.0,92.33,49
KatriguppeJunction,ORR West 1,12,99.99583333333334,1.0,92.33,50
UlsoorGateJunc,Mysore Road,12,99.93666666666667,1.0,92.28,51
HoramavuJunction,ORR North 1,12,99.90333333333332,1.0,92.26,52
NaganathapuraJunction,Hosur Road,12,99.71249999999999,1.0,92.1,53
MS RamaiahJunc(TollGate),Tumkur Road,11,100.0,1.0,91.95,54
Kadubeesanahalli-ORR Junc,ORR East 1,11,99.97818181818182,1.0,91.93,55
MaratahalliBridgeJunc,Varthur Road,11,99.97909090909091,1.0,91.93,56
TrinityCircle,Old Madras Road,11,99.96454545454544,1.0,91.92,57
Richmond circle jn,Mysore Road,11,99.92272727272729,1.0,91.89,58
Shivajinagar(BRV)Junction,Old Madras Road,11,99.91545454545454,1.0,91.88,59
SiddalingaiahCircle,Mysore Road,11,99.84363636363636,1.0,91.82,60
TataInstituteCircle,Tumkur Road,11,99.68909090909091,1.0,91.7,61
SarjapurRd-St JohnsRdJunc,Hosur Road,10,99.995,1.0,91.53,62
MotherTeressaCircle,Mysore Road,10,99.974,1.0,91.51,63
N R SquareJunc,Mysore Road,10,99.971,1.0,91.51,64
SilkBoardJunc,Hosur Road,9,99.99777777777778,1.0,91.07,65
KodigehalliCross,Bellary Road 1,9,99.99888888888889,1.0,91.07,66
ISRO Junction-Airport rd,Old Airport Road,9,99.97555555555556,1.0,91.05,67
SirsiCircle,Mysore Road,9,99.97444444444444,1.0,91.05,68
LRDE Junction,Bellary Road 1,9,99.95555555555556,1.0,91.04,69
